gm_naam,gwb_code_10,gwb_code_8,regio,recs,gwb_code,a_inw,a_man,p_man,a_vrouw,p_vrouw,a_00_14,p_00_14,a_15_24,p_15_24,a_25_44,p_25_44,a_45_64,p_45_64,a_65_oo,p_65_oo,a_ongeh,p_ongeh,a_gehuwd,p_gehuwd,a_gesch,p_gesch,a_verwed,p_verwed,a_w_all,p_w_all,a_nw_all,p_nw_all,a_marok,p_marok,a_antaru,p_antaru,a_suri,p_suri,a_tur,p_tur,a_ov_nw,p_ov_nw,a_hh,a_1p_hh,p_1p_hh,a_hh_z_k,p_hh_z_k,a_hh_m_k,p_hh_m_k,g_hhgro,bev_dich,a_woning,g_woz,p_1gezw,p_mgezw,p_bjj2k,p_bjo2k,a_bedv,a_bed_a,a_bed_bf,a_bed_gi,a_bed_hj,a_bed_kl,a_bed_mn,a_bed_ru,a_pau,a_lftj6j,a_lfto6j,a_bst_b,a_bst_nb,g_pau_hh,g_pau_km,a_bau,a_m2w,a_opp_ha,a_lan_ha,a_wat_ha,ste_mvs,ste_oad
Laarbeek,GM1659,1659,Laarbeek,Gemeente,GM1659,21965,11115,50.6,10850,49.4,3571,16.3,2505,11.4,4710,21.4,6688,30.4,4491,20.4,9338,42.5,10127,46.1,1300,5.9,1200,5.5,1258,5.7,478,2.2,22,0.1,34,0.2,50,0.2,33,0.2,339,1.5,9029,2372,26.3,3179,35.2,3478,38.5,2.4,397,9237,242,88,12,84,16,1970,160,490,420,100,190,385,230,11580,2770,8815,9495,2085,1.3,209,1835,1115,5617,5536,80,4,615
De Marne,GM1663,1663,De Marne,Gemeente,GM1663,10101,5100,50.5,5001,49.5,1583,15.7,997,9.9,2080,20.6,3170,31.4,2271,22.5,4309,42.7,4381,43.4,789,7.8,622,6.2,426,4.2,161,1.6,1,0,10,0.1,27,0.3,2,0,121,1.2,4649,1642,35.3,1572,33.8,1435,30.9,2.1,59,5260,140,95,5,94,6,965,220,145,215,70,45,135,135,5240,1135,4100,3955,1285,1.1,31,945,605,24033,17040,6993,5,156
Reusel-De Mierden,GM1667,1667,Reusel-De Mierden,Gemeente,GM1667,12811,6577,51.3,6234,48.7,2119,16.5,1419,11.1,3045,23.8,3992,31.2,2236,17.5,5541,43.3,5999,46.8,632,4.9,639,5,751,5.9,269,2.1,9,0.1,16,0.1,12,0.1,6,0,226,1.8,5226,1367,26.2,1845,35.3,2014,38.5,2.4,164,5275,259,90,10,82,18,1285,220,325,260,55,110,180,135,7020,1520,5500,5635,1385,1.3,90,1285,720,7866,7792,74,4,544
Roerdalen,GM1669,1669,Roerdalen,Gemeente,GM1669,20686,10354,50.1,10332,49.9,2744,13.3,1961,9.5,4086,19.8,6924,33.5,4971,24,7945,38.4,9806,47.4,1544,7.5,1391,6.7,2833,13.7,611,3,53,0.3,52,0.3,32,0.2,25,0.1,449,2.2,9180,2703,29.4,3388,36.9,3089,33.6,2.2,234,9405,198,90,10,91,9,1400,165,190,335,95,130,275,210,11805,3105,8705,10175,1635,1.3,134,1230,1075,8879,8822,57,5,382
Roosendaal,GM1674,1674,Roosendaal,Gemeente,GM1674,76960,38033,49.4,38927,50.6,12076,15.7,8835,11.5,17803,23.1,22798,29.6,15448,20.1,32884,42.7,33248,43.2,6371,8.3,4457,5.8,7959,10.3,10230,13.3,3948,5.1,266,0.3,431,0.6,2290,3,3295,4.3,34372,11648,33.9,10991,32,11733,34.1,2.2,723,34718,199,76,24,90,10,5855,250,895,1540,450,640,1375,710,37850,12840,25010,31215,6635,1.1,356,4765,2770,10716,10647,70,2,1694
Schouwen-Duiveland,GM1676,1676,Schouwen-Duiveland,Gemeente,GM1676,33735,16701,49.5,17034,50.5,4922,14.6,3432,10.2,6642,19.7,10151,30.1,8588,25.5,12516,37.1,16351,48.5,2590,7.7,2278,6.8,2179,6.5,866,2.6,21,0.1,41,0.1,99,0.3,44,0.1,661,2,15257,5022,32.9,5611,36.8,4624,30.3,2.2,147,16717,227,90,10,88,12,3685,425,620,955,215,420,675,380,18255,5830,12425,14505,3745,1.2,79,2905,1750,48821,22997,25824,4,502
Aa en Hunze,GM1680,1680,Aa en Hunze,Gemeente,GM1680,25243,12577,49.8,12666,50.2,3691,14.6,2472,9.8,4410,17.5,8535,33.8,6135,24.3,9851,39,11991,47.5,1770,7,1631,6.5,1050,4.2,438,1.7,12,0,26,0.1,66,0.3,7,0,327,1.3,10904,2996,27.5,4335,39.8,3573,32.8,2.3,91,11131,218,92,8,90,10,2150,290,295,455,130,170,500,310,14035,4090,9940,10725,3305,1.3,51,1870,1655,27888,27625,262,5,278
Borger-Odoorn,GM1681,1681,Borger-Odoorn,Gemeente,GM1681,25371,12692,50,12679,50,3700,14.6,2691,10.6,4808,19,8293,32.7,5879,23.2,9769,38.5,12295,48.5,1674,6.6,1633,6.4,1037,4.1,381,1.5,8,0,36,0.1,43,0.2,11,0,283,1.1,10998,3016,27.4,4288,39,3694,33.6,2.3,92,11714,172,92,8,88,12,2160,310,355,515,140,160,415,260,14475,3830,10645,10895,3575,1.3,53,2360,1610,27789,27451,339,5,262
Cuijk,GM1684,1684,Cuijk,Gemeente,GM1684,24608,12229,49.7,12379,50.3,3921,15.9,2847,11.6,5560,22.6,7400,30.1,4880,19.8,10805,43.9,10763,43.7,1726,7,1314,5.3,2319,9.4,2303,9.4,502,2,108,0.4,109,0.4,908,3.7,676,2.7,10540,3125,29.6,3528,33.5,3887,36.9,2.3,481,10787,200,80,20,85,15,1725,135,270,470,105,165,365,215,12600,3285,9315,9845,2755,1.2,246,1815,1040,5707,5115,592,4,840
Landerd,GM1685,1685,Landerd,Gemeente,GM1685,15303,7794,50.9,7509,49.1,2560,16.7,1859,12.1,3126,20.4,4761,31.1,2997,19.6,7005,45.8,6727,44,740,4.8,831,5.4,711,4.6,349,2.3,16,0.1,27,0.2,30,0.2,15,0.1,261,1.7,6031,1579,26.2,2008,33.3,2444,40.5,2.5,217,6004,268,88,12,84,16,1535,215,335,310,75,205,245,150,8535,2000,6540,6560,1975,1.4,121,1605,850,7071,7036,34,5,453
De Wolden,GM1690,1690,De Wolden,Gemeente,GM1690,23722,11886,50.1,11836,49.9,3744,15.8,2660,11.2,4476,18.9,7508,31.6,5334,22.5,9707,40.9,11106,46.8,1334,5.6,1575,6.6,711,3,353,1.5,3,0,11,0,39,0.2,7,0,293,1.2,9830,2666,27.1,3571,36.3,3593,36.6,2.4,106,10093,247,86,14,88,12,2485,465,390,530,155,190,485,270,13435,3550,9885,9745,3695,1.4,60,2320,1670,22635,22468,167,5,301
Noord-Beveland,GM1695,1695,Noord-Beveland,Gemeente,GM1695,7421,3699,49.8,3722,50.2,1008,13.6,679,9.1,1512,20.4,2318,31.2,1904,25.7,2825,38.1,3404,45.9,703,9.5,489,6.6,664,8.9,185,2.5,7,0.1,14,0.2,18,0.2,1,0,145,2,3489,1240,35.5,1260,36.1,989,28.3,2.1,86,4347,191,92,8,86,14,830,145,145,185,45,75,155,90,4265,1095,3165,3380,885,1.2,50,725,410,12151,8588,3563,5,220
Wijdemeren,GM1696,1696,Wijdemeren,Gemeente,GM1696,23275,11326,48.7,11949,51.3,3689,15.8,2344,10.1,4251,18.3,7514,32.3,5477,23.5,9781,42,10238,44,1839,7.9,1417,6.1,1973,8.5,983,4.2,110,0.5,80,0.3,111,0.5,42,0.2,640,2.7,10264,3253,31.7,3368,32.8,3643,35.5,2.2,489,10381,325,84,16,89,11,3135,80,515,600,250,400,910,385,13240,4125,9115,11080,2160,1.3,278,1915,1135,7636,4761,2875,4,571
Noordenveld,GM1699,1699,Noordenveld,Gemeente,GM1699,31039,15407,49.6,15632,50.4,4832,15.6,2977,9.6,5828,18.8,9543,30.7,7859,25.3,12539,40.4,14263,46,2199,7.1,2038,6.6,1422,4.6,776,2.5,16,0.1,53,0.2,131,0.4,28,0.1,548,1.8,13670,4119,30.1,5003,36.6,4548,33.3,2.2,155,14555,211,87,13,89,11,2545,205,350,620,170,270,645,290,16590,4350,12240,12825,3765,1.2,83,1880,1600,20529,20016,513,4,684
Twenterand,GM1700,1700,Twenterand,Gemeente,GM1700,33846,17123,50.6,16723,49.4,6574,19.4,4075,12,7858,23.2,9482,28,5857,17.3,14600,43.1,15792,46.7,1564,4.6,1890,5.6,1061,3.1,574,1.7,1,0,24,0.1,34,0.1,38,0.1,477,1.4,12991,3162,24.3,4163,32,5666,43.6,2.6,318,13609,196,86,14,85,15,2465,265,595,645,90,260,355,250,17180,4125,13055,13645,3535,1.3,162,2845,1535,10814,10628,185,4,587
Westerveld,GM1701,1701,Westerveld,Gemeente,GM1701,18940,9440,49.8,9500,50.2,2747,14.5,1781,9.4,3384,17.9,6015,31.8,5013,26.5,7321,38.7,9015,47.6,1273,6.7,1331,7,764,4,379,2,9,0,36,0.2,58,0.3,6,0,270,1.4,8271,2561,31,3167,38.3,2543,30.7,2.2,68,8312,241,92,8,93,7,1855,310,275,400,85,150,375,250,10500,2960,7535,7445,3050,1.3,38,1630,1115,28274,27850,424,5,205
Sint Anthonis,GM1702,1702,Sint Anthonis,Gemeente,GM1702,11594,5982,51.6,5612,48.4,1779,15.3,1433,12.4,2276,19.6,3817,32.9,2289,19.7,5153,44.4,5254,45.3,532,4.6,655,5.6,477,4.1,224,1.9,3,0,12,0.1,19,0.2,1,0,189,1.6,4573,1163,25.4,1629,35.6,1781,38.9,2.5,117,4746,253,90,10,87,13,1220,400,170,195,50,100,185,120,6310,1405,4900,4850,1460,1.4,64,1055,670,9976,9927,49,5,265
Lingewaard,GM1705,1705,Lingewaard,Gemeente,GM1705,45950,22774,49.6,23176,50.4,7960,17.3,4971,10.8,10010,21.8,14273,31.1,8736,19,19948,43.4,20575,44.8,2988,6.5,2439,5.3,3086,6.7,1385,3,83,0.2,113,0.2,137,0.3,156,0.3,896,1.9,19092,5061,26.5,6498,34,7533,39.5,2.4,739,19423,221,83,17,80,20,3370,230,625,720,190,405,810,390,22695,6745,15950,19075,3620,1.2,365,2630,2230,6914,6221,693,4,930
Cranendonck,GM1706,1706,Cranendonck,Gemeente,GM1706,20660,10419,50.4,10241,49.6,3050,14.8,2322,11.2,4447,21.5,6338,30.7,4503,21.8,8606,41.7,9500,46,1392,6.7,1162,5.6,2432,11.8,777,3.8,56,0.3,73,0.4,45,0.2,20,0.1,583,2.8,8769,2440,27.8,3167,36.1,3162,36.1,2.3,271,8781,233,92,8,90,10,1925,150,455,440,90,185,390,215,11570,2925,8645,9465,2105,1.3,152,1710,1120,7805,7636,169,4,581
Steenwijkerland,GM1708,1708,Steenwijkerland,Gemeente,GM1708,43333,21669,50,21664,50,7197,16.6,4892,11.3,9318,21.5,12867,29.7,9059,20.9,18278,42.2,19588,45.2,2919,6.7,2548,5.9,1902,4.4,1483,3.4,56,0.1,121,0.3,116,0.3,282,0.7,908,2.1,18650,5767,30.9,6399,34.3,6484,34.8,2.3,150,19636,188,85,15,85,15,4020,585,710,980,215,290,785,460,21620,6035,15585,15495,6125,1.2,75,3135,2475,32159,28951,3209,4,584
Moerdijk,GM1709,1709,Moerdijk,Gemeente,GM1709,36762,18397,50,18365,50,5956,16.2,3944,10.7,8064,21.9,11372,30.9,7426,20.2,15246,41.5,16795,45.7,2497,6.8,2224,6,2342,6.4,1560,4.2,189,0.5,104,0.3,189,0.5,344,0.9,734,2,15731,4421,28.1,5565,35.4,5745,36.5,2.3,231,16116,207,87,13,81,19,3565,260,665,890,295,370,755,330,20050,7240,12810,16045,4005,1.3,126,3650,1780,18403,15917,2486,4,740
Echt-Susteren,GM1711,1711,Echt-Susteren,Gemeente,GM1711,31943,16027,50.2,15916,49.8,4158,13,3163,9.9,6527,20.4,10771,33.7,7324,22.9,12729,39.8,14573,45.6,2511,7.9,2130,6.7,4337,13.6,1102,3.4,106,0.3,49,0.2,64,0.2,54,0.2,829,2.6,14126,4329,30.6,5060,35.8,4737,33.5,2.2,310,14450,193,85,15,89,11,2635,215,425,725,175,210,525,365,17900,4635,13260,15255,2645,1.3,174,2265,1610,10462,10311,151,4,707
Sluis,GM1714,1714,Sluis,Gemeente,GM1714,23639,11663,49.3,11976,50.7,3106,13.1,2229,9.4,4724,20,7299,30.9,6281,26.6,9002,38.1,10953,46.3,1934,8.2,1750,7.4,5492,23.2,598,2.5,32,0.1,44,0.2,64,0.3,46,0.2,412,1.7,11288,4033,35.7,4051,35.9,3204,28.4,2.1,85,14051,184,86,14,90,10,2620,470,290,850,135,235,355,285,13350,3615,9735,10980,2370,1.2,48,2045,1085,30716,27936,2781,5,422
Drimmelen,GM1719,1719,Drimmelen,Gemeente,GM1719,26815,13434,50.1,13381,49.9,4031,15,2990,11.2,5701,21.3,8605,32.1,5488,20.5,11101,41.4,12605,47,1619,6,1490,5.6,1582,5.9,596,2.2,36,0.1,34,0.1,46,0.2,42,0.2,438,1.6,11234,2939,26.2,4157,37,4138,36.8,2.3,281,11501,230,87,13,88,12,2480,250,455,520,190,220,565,280,14320,4605,9710,11765,2555,1.3,150,2005,1255,11943,9546,2396,4,753
Bernheze,GM1721,1721,Bernheze,Gemeente,GM1721,29880,15081,50.5,14799,49.5,5139,17.2,3631,12.2,6383,21.4,8940,29.9,5787,19.4,13128,43.9,13675,45.8,1447,4.8,1630,5.5,1612,5.4,688,2.3,22,0.1,45,0.2,65,0.2,101,0.3,455,1.5,11736,2939,25,3926,33.5,4871,41.5,2.5,333,12044,267,89,11,82,18,2905,345,620,585,155,355,575,275,15555,4095,11465,12255,3305,1.3,173,2960,1585,9041,8973,68,4,642
Ferwerderadiel,GM1722,1722,Ferwerderadiel,Gemeente,GM1722,8701,4452,51.2,4249,48.8,1649,19,927,10.7,1928,22.2,2540,29.2,1657,19,3978,45.7,3735,42.9,521,6,467,5.4,315,3.6,198,2.3,10,0.1,11,0.1,20,0.2,1,0,156,1.8,3631,1099,30.3,1192,32.8,1340,36.9,2.4,89,3860,149,95,5,91,9,680,165,140,125,40,30,95,80,4320,930,3390,3085,1235,1.2,44,815,465,13318,9784,3534,5,208
Alphen-Chaam,GM1723,1723,Alphen-Chaam,Gemeente,GM1723,9924,5058,51,4866,49,1529,15.4,1125,11.3,1981,20,3219,32.4,2070,20.9,4145,41.8,4731,47.7,544,5.5,504,5.1,1119,11.3,206,2.1,14,0.1,11,0.1,11,0.1,6,0.1,164,1.7,4035,953,23.6,1521,37.7,1561,38.7,2.4,107,4214,290,90,10,82,18,1130,235,175,240,50,95,230,105,5880,1450,4435,4825,1060,1.5,63,880,615,9352,9303,49,5,297
Bergeijk,GM1724,1724,Bergeijk,Gemeente,GM1724,18253,9268,50.8,8985,49.2,2844,15.6,2210,12.1,3761,20.6,5630,30.8,3808,20.9,7639,41.9,8595,47.1,1050,5.8,969,5.3,1352,7.4,356,2,11,0.1,16,0.1,23,0.1,12,0.1,294,1.6,7550,2003,26.5,2685,35.6,2862,37.9,2.4,181,7742,271,87,13,86,14,1995,225,455,415,105,235,360,200,10190,2870,7320,8250,1940,1.3,101,1790,1150,10175,10101,75,5,496
Bladel,GM1728,1728,Bladel,Gemeente,GM1728,19966,10133,50.8,9833,49.2,3247,16.3,2303,11.5,4443,22.3,6008,30.1,3965,19.9,8807,44.1,8924,44.7,1141,5.7,1094,5.5,1337,6.7,534,2.7,25,0.1,20,0.1,51,0.3,16,0.1,422,2.1,8334,2360,28.3,2902,34.8,3072,36.9,2.4,265,8417,264,85,15,81,19,1980,180,485,475,90,230,335,190,10965,2960,8000,8800,2165,1.3,145,2080,1210,7562,7537,26,4,673
Gulpen-Wittem,GM1729,1729,Gulpen-Wittem,Gemeente,GM1729,14508,7343,50.6,7165,49.4,1680,11.6,1467,10.1,2743,18.9,4936,34,3682,25.4,5424,37.4,7111,49,984,6.8,989,6.8,1665,11.5,421,2.9,23,0.2,13,0.1,12,0.1,1,0,372,2.6,6446,1960,30.4,2458,38.1,2028,31.5,2.2,198,6789,201,79,21,89,11,1260,150,180,370,45,100,255,165,8085,2270,5815,7105,980,1.3,110,805,640,7336,7318,18,5,283
Tynaarlo,GM1730,1730,Tynaarlo,Gemeente,GM1730,32804,16130,49.2,16674,50.8,5616,17.1,3040,9.3,6176,18.8,10309,31.4,7663,23.4,13854,42.2,14501,44.2,2381,7.3,2068,6.3,1647,5,923,2.8,15,0,78,0.2,122,0.4,34,0.1,674,2.1,13770,3920,28.5,4851,35.2,4999,36.3,2.3,229,13958,237,89,11,89,11,2565,165,285,550,165,310,750,340,19385,7035,12350,14390,4995,1.4,135,2060,1530,14770,14332,438,5,498
Midden-Drenthe,GM1731,1731,Midden-Drenthe,Gemeente,GM1731,33450,16688,49.9,16762,50.1,5273,15.8,3715,11.1,6669,19.9,10568,31.6,7225,21.6,13937,41.7,15339,45.9,2132,6.4,2042,6.1,1467,4.4,988,3,27,0.1,54,0.2,88,0.3,12,0,807,2.4,14135,4039,28.6,5174,36.6,4922,34.8,2.3,98,14030,193,89,11,87,13,2810,550,435,660,140,190,535,300,17485,4860,12630,12675,4810,1.2,51,2855,2105,34587,34075,512,5,395
Overbetuwe,GM1734,1734,Overbetuwe,Gemeente,GM1734,47002,23350,49.7,23652,50.3,8714,18.5,5402,11.5,10645,22.6,13952,29.7,8289,17.6,20749,44.1,21054,44.8,3085,6.6,2114,4.5,3284,7,1766,3.8,124,0.3,125,0.3,186,0.4,295,0.6,1036,2.2,19099,4967,26,6193,32.4,7939,41.6,2.4,430,19251,223,88,12,77,23,4130,280,625,960,305,455,1060,445,24745,8165,16580,19410,5335,1.3,227,3245,2180,11508,10919,589,4,780
Hof van Twente,GM1735,1735,Hof van Twente,Gemeente,GM1735,34881,17333,49.7,17548,50.3,5599,16.1,3817,10.9,6948,19.9,10260,29.4,8257,23.7,14374,41.2,16149,46.3,1878,5.4,2480,7.1,1876,5.4,1080,3.1,18,0.1,34,0.1,44,0.1,340,1,644,1.8,14543,4126,28.4,5087,35,5330,36.6,2.4,164,14868,222,87,13,85,15,3490,610,535,780,140,395,645,385,18575,5340,13235,15115,3460,1.3,87,2845,1770,21541,21261,280,4,598
Neder-Betuwe,GM1740,1740,Neder-Betuwe,Gemeente,GM1740,23049,11521,50,11528,50,4853,21.1,3274,14.2,5108,22.2,6095,26.4,3719,16.1,10136,44,10745,46.6,1022,4.4,1146,5,1051,4.6,514,2.2,159,0.7,18,0.1,21,0.1,29,0.1,287,1.2,8409,2030,24.1,2613,31.1,3766,44.8,2.7,384,8391,218,92,8,86,14,2310,335,495,545,135,220,420,155,11640,3280,8360,9310,2330,1.4,194,2425,945,6746,5999,747,5,417
Rijssen-Holten,GM1742,1742,Rijssen-Holten,Gemeente,GM1742,37875,18905,49.9,18970,50.1,7913,20.9,4892,12.9,8843,23.3,9550,25.2,6677,17.6,16406,43.3,18173,48,1275,3.4,2021,5.3,1093,2.9,1741,4.6,14,0,19,0.1,34,0.1,968,2.6,706,1.9,13906,3390,24.4,4253,30.6,6263,45,2.7,402,14298,215,81,19,82,18,2960,215,605,760,155,445,515,260,18595,6240,12355,14330,4270,1.3,198,3230,1425,9438,9412,26,3,1081
Geldrop-Mierlo,GM1771,1771,Geldrop-Mierlo,Gemeente,GM1771,38893,19288,49.6,19605,50.4,6225,16,4276,11,8818,22.7,11527,29.6,8047,20.7,16857,43.3,16888,43.4,2911,7.5,2237,5.8,3530,9.1,2760,7.1,256,0.7,251,0.6,290,0.7,527,1.4,1436,3.7,17217,5545,32.2,5592,32.5,6080,35.3,2.2,1254,17305,224,79,21,88,12,2955,50,610,635,210,320,735,395,20100,5705,14395,17020,3085,1.2,648,2170,1645,3139,3101,37,3,1337
Olst-Wijhe,GM1773,1773,Olst-Wijhe,Gemeente,GM1773,17886,9030,50.5,8856,49.5,2964,16.6,2070,11.6,3635,20.3,5688,31.8,3529,19.7,7813,43.7,8079,45.2,1004,5.6,990,5.5,782,4.4,546,3.1,15,0.1,38,0.2,32,0.2,152,0.8,309,1.7,7299,1962,26.9,2576,35.3,2761,37.8,2.4,157,7448,219,86,14,86,14,1425,280,195,310,85,120,270,165,9065,2100,6965,7160,1905,1.2,80,1050,960,11837,11399,438,5,450
Dinkelland,GM1774,1774,Dinkelland,Gemeente,GM1774,26120,13318,51,12802,49,4444,17,3364,12.9,5225,20,7851,30.1,5236,20,11585,44.4,12000,45.9,972,3.7,1563,6,1560,6,585,2.2,1,0,11,0,15,0.1,77,0.3,481,1.8,9876,2463,24.9,3126,31.7,4287,43.4,2.6,149,10528,239,87,13,86,14,2590,560,380,600,100,305,400,245,13625,3420,10205,10770,2855,1.4,78,2605,1280,17683,17571,112,5,453
Westland,GM1783,1783,Westland,Gemeente,GM1783,104960,52288,49.8,52672,50.2,17779,16.9,13392,12.8,25006,23.8,29717,28.3,19066,18.2,48258,46,45770,43.6,5989,5.7,4943,4.7,8770,8.4,5868,5.6,1650,1.6,346,0.3,708,0.7,641,0.6,2523,2.4,44092,13614,30.9,13586,30.8,16892,38.3,2.4,1292,42622,237,76,24,80,20,11660,1645,2335,2220,670,1410,2330,1055,51540,18655,32885,45500,6040,1.2,634,11075,3965,9074,8124,950,3,1370
Midden-Delfland,GM1842,1842,Midden-Delfland,Gemeente,GM1842,18873,9518,50.4,9355,49.6,3343,17.7,2461,13,4053,21.5,5785,30.7,3231,17.1,8487,45,8657,45.9,900,4.8,829,4.4,1095,5.8,862,4.6,114,0.6,44,0.2,114,0.6,82,0.4,508,2.7,7554,1936,25.6,2430,32.2,3188,42.2,2.5,399,7649,280,77,23,79,21,1700,230,245,270,105,215,435,200,8900,3050,5855,7770,1135,1.2,188,1530,830,4938,4735,203,3,1282
Berkelland,GM1859,1859,Berkelland,Gemeente,GM1859,44437,22324,50.2,22113,49.8,6995,15.7,5036,11.3,8611,19.4,13681,30.8,10114,22.8,18778,42.3,20535,46.2,2145,4.8,2979,6.7,2205,5,1197,2.7,124,0.3,56,0.1,53,0.1,185,0.4,779,1.8,18732,5377,28.7,6668,35.6,6687,35.7,2.3,172,19466,198,81,19,86,14,3775,800,585,840,160,345,655,400,23555,5995,17560,19695,3860,1.3,91,3010,2445,26053,25850,203,4,654
Bronckhorst,GM1876,1876,Bronckhorst,Gemeente,GM1876,36510,18198,49.8,18312,50.2,5554,15.2,3996,10.9,6371,17.5,11962,32.8,8627,23.6,15185,41.6,16898,46.3,1933,5.3,2494,6.8,1449,4,650,1.8,13,0,44,0.1,46,0.1,89,0.2,458,1.3,15320,4130,27,5702,37.2,5488,35.8,2.4,129,16117,241,85,15,91,9,3765,705,625,785,135,345,740,425,20550,5105,15445,17075,3475,1.3,72,3445,2675,28642,28351,291,5,383
Sittard-Geleen,GM1883,1883,Sittard-Geleen,Gemeente,GM1883,93555,46050,49.2,47505,50.8,12297,13.1,10187,10.9,20909,22.3,29786,31.8,20376,21.8,39497,42.2,38589,41.2,9111,9.7,6358,6.8,14219,15.2,6123,6.5,1903,2,271,0.3,317,0.3,555,0.6,3077,3.3,44833,17256,38.5,13969,31.2,13608,30.4,2,1184,46058,157,68,32,89,11,6420,90,965,1755,455,535,1685,935,49790,14280,35510,42770,7020,1.1,630,5770,3850,8058,7901,158,3,1475
Kaag en Braassem,GM1884,1884,Kaag en Braassem,Gemeente,GM1884,26108,13250,50.8,12858,49.2,4287,16.4,3046,11.7,5642,21.6,8102,31,5031,19.3,11542,44.2,11730,44.9,1539,5.9,1297,5,1516,5.8,949,3.6,118,0.5,57,0.2,129,0.5,39,0.1,606,2.3,10945,3108,28.4,3664,33.5,4173,38.1,2.4,413,11056,258,83,17,84,16,2630,315,515,475,165,290,580,285,13245,4185,9065,11505,1745,1.2,209,2045,1375,7224,6327,897,4,561
Dantumadiel,GM1891,1891,Dantumadiel,Gemeente,GM1891,19015,9534,50.1,9481,49.9,3275,17.2,2309,12.1,4034,21.2,5552,29.2,3845,20.2,8116,42.7,8812,46.3,952,5,1135,6,392,2.1,310,1.6,5,0,14,0.1,19,0.1,7,0,265,1.4,7725,2165,28,2515,32.6,3045,39.4,2.4,224,8065,165,91,9,93,7,1295,145,330,350,65,80,210,120,9485,1960,7525,6965,2520,1.2,112,1475,860,8753,8491,262,5,442
Zuidplas,GM1892,1892,Zuidplas,Gemeente,GM1892,40937,20306,49.6,20631,50.4,7365,18,4952,12.1,9187,22.4,12392,30.3,7041,17.2,17678,43.2,18767,45.8,2613,6.4,1879,4.6,3091,7.6,2964,7.2,855,2.1,215,0.5,505,1.2,83,0.2,1306,3.2,16642,4476,26.9,5296,31.8,6870,41.3,2.4,686,16787,223,78,22,85,15,4010,235,645,835,345,550,960,435,20060,7000,13060,17275,2785,1.2,336,3285,2070,6405,5964,441,3,1168
Peel en Maas,GM1894,1894,Peel en Maas,Gemeente,GM1894,43316,21988,50.8,21328,49.2,6558,15.1,4952,11.4,9461,21.8,13627,31.5,8718,20.1,18638,43,20087,46.4,2283,5.3,2308,5.3,3208,7.4,1447,3.3,395,0.9,36,0.1,51,0.1,290,0.7,675,1.6,17854,4727,26.5,6386,35.8,6741,37.8,2.4,272,17898,225,86,14,86,14,3490,595,565,820,170,330,585,425,23055,4990,18065,19160,3895,1.3,145,3280,2185,16135,15937,198,4,564
Oldambt,GM1895,1895,Oldambt,Gemeente,GM1895,38228,18953,49.6,19275,50.4,5559,14.5,3918,10.2,7954,20.8,12008,31.4,8789,23,15567,40.7,16510,43.2,3376,8.8,2775,7.3,2759,7.2,1141,3,48,0.1,101,0.3,210,0.5,71,0.2,711,1.9,17870,6429,36,5834,32.6,5607,31.4,2.1,169,18396,128,82,18,89,11,2530,230,365,770,195,185,420,365,19175,5080,14095,15405,3765,1.1,85,2225,2045,29596,22673,6923,4,835
Zwartewaterland,GM1896,1896,Zwartewaterland,Gemeente,GM1896,22278,11336,50.9,10942,49.1,4813,21.6,3031,13.6,5396,24.2,5576,25,3462,15.5,9708,43.6,10793,48.4,835,3.7,942,4.2,695,3.1,450,2,13,0.1,41,0.2,28,0.1,18,0.1,350,1.6,8310,2091,25.2,2614,31.5,3605,43.4,2.7,269,8648,190,88,12,84,16,1880,170,440,445,140,255,265,160,10365,3660,6705,7975,2390,1.2,125,2945,855,8786,8267,518,4,702
Súdwest-Fryslân,GM1900,1900,Súdwest-Fryslân,Gemeente,GM1900,84048,42090,50.1,41958,49.9,14598,17.4,9401,11.2,18112,21.5,24568,29.2,17369,20.7,38328,45.6,34992,41.6,6010,7.2,4718,5.6,4299,5.1,2682,3.2,97,0.1,139,0.2,267,0.3,299,0.4,1880,2.2,36774,12452,33.9,11638,31.6,12684,34.5,2.2,185,39013,175,82,18,87,13,7980,870,1645,1790,540,555,1695,885,39145,10530,28615,28415,10730,1.1,86,6925,3870,83871,45536,38335,4,864
Bodegraven-Reeuwijk,GM1901,1901,Bodegraven-Reeuwijk,Gemeente,GM1901,33451,16730,50,16721,50,6151,18.4,4108,12.3,7336,21.9,9480,28.3,6376,19.1,14699,43.9,15310,45.8,1877,5.6,1565,4.7,1999,6,1977,5.9,845,2.5,78,0.2,149,0.4,54,0.2,851,2.5,13545,3720,27.5,4472,33,5353,39.5,2.5,442,14008,266,81,19,86,14,3665,250,700,730,250,510,890,330,15855,5310,10545,13335,2520,1.2,209,2855,1525,8864,7568,1296,3,1089
Eijsden-Margraten,GM1903,1903,Eijsden-Margraten,Gemeente,GM1903,25123,12510,49.8,12613,50.2,3421,13.6,2926,11.6,4888,19.5,8075,32.1,5813,23.1,9867,39.3,12307,49,1498,6,1451,5.8,2611,10.4,520,2.1,42,0.2,39,0.2,35,0.1,20,0.1,384,1.5,10644,2776,26.1,4001,37.6,3867,36.3,2.3,324,10888,233,85,15,90,10,2035,180,345,460,110,165,510,265,13770,3780,9990,12110,1660,1.3,178,1580,1135,7841,7743,98,5,448
